CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,Score 2015,Change in Yearly Score from 2014,Property Rights,Change in Property Rights from 2014,Freedom from Corruption,Change in Freedom from Corruption from 2014,Fiscal Freedom ,Change in Fiscal Freedom from 2014,Gov't Spending,Change in Gov't Spending from 2014,Business Freedom,Change in Business Freedom from 2014,Labor Freedom,Change in Labor Freedom from 2014,Monetary Freedom,Change in Monetary Freedom from 2014,Trade Freedom,Change in Trade Freedom from 2014,Investment Freedom ,Change in Investment Freedom from 2014,Financial Freedom,Change in Financial Freedom from 2014,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
148,Slovak Republic,Slovakia,Europe,50,22,67.2,0.8,50.0,0.0,47.0,5.2,80.8,0.6,55.1,-0.9,69.6,2.6,56.5,2.9,75.5,-2.6,88.0,0.2,80.0,0.0,70.0,0.0,1.0,25.0,22.0,28.5,38.7,Slovakia,5.4,$133.1 ,0.9,1.0,"$24,605",14.0,1.5,591.0,54.9
149,Slovenia,Slovenia,Europe,88,36,60.3,-2.4,60.0,0.0,57.0,-4.0,58.1,-0.8,0.0,-22.6,81.2,-4.2,57.1,6.1,81.3,1.0,88.0,0.2,70.0,0.0,50.0,0.0,1.0,50.0,17.0,37.4,59.4,Slovenia,2.1,$57.4 ,-1.1,-2.0,"$27,900",10.6,1.6,-678.6,73.0
150,Solomon Islands,SolomonIslands,Asia-Pacific,159,36,47.0,0.8,30.0,0.0,25.0,0.0,61.1,-0.3,25.7,4.4,67.7,2.5,68.6,3.4,74.3,-1.1,73.0,0.0,15.0,0.0,30.0,0.0,8.5,40.0,30.0,37.3,49.8,Solomon Islands,0.6,$1.9 ,2.9,4.2,"$3,455",3.9,6.1,105.3,14.6
151,South Africa,SouthAfrica,Sub-Saharan Africa,72,6,62.6,0.1,50.0,0.0,42.0,0.4,69.5,0.8,68.2,-0.9,73.0,-1.5,61.6,7.2,74.9,-0.4,76.6,0.5,50.0,-5.0,60.0,0.0,4.2,40.0,28.0,25.8,32.6,South Africa,53.0,$596.5 ,1.9,1.9,"$11,259",25.3,5.8,"8,187.9",45.2
152,Spain,Spain,Europe,49,21,67.6,0.4,70.0,0.0,59.0,-3.6,53.1,-0.9,39.8,1.1,77.5,0.2,52.6,0.4,81.3,1.4,88.0,0.2,85.0,5.0,70.0,0.0,1.0,52.0,30.0,32.9,44.8,Spain,46.6,"$1,391.3 ",-1.2,-1.4,"$29,851",26.7,1.5,"39,166.6",93.9
153,Sri Lanka,SriLanka,Asia-Pacific,101,21,58.6,-1.4,35.0,-5.0,37.0,3.6,85.0,0.1,88.4,2.1,72.5,-1.9,58.7,-0.5,68.2,0.2,71.6,-2.0,30.0,-10.0,40.0,0.0,6.7,24.0,28.0,12.0,19.7,Sri Lanka,20.8,$136.0 ,7.3,6.7,"$6,531",4.2,6.9,915.6,N/A
154,Sudan,Sudan,Sub-Saharan Africa,N/A,N/A,N/A,N/A,N/A,N/A,11.0,1.2,86.4,1.3,94.5,4.2,49.0,-5.5,43.8,-5.3,52.8,-3.0,55.6,0.0,15.0,0.0,N/A,N/A,14.7,10.0,35.0,5.7,13.6,Sudan,34.4,$90.5 ,3.4,1.3,"$2,631",15.3,36.5,"3,094.4",90.9
155,Suriname,Suriname,South and Central America / Caribbean,129,23,54.2,0.0,35.0,-5.0,36.0,3.1,69.3,0.3,73.8,-4.5,42.2,0.4,81.9,0.1,77.2,5.4,66.2,0.0,30.0,0.0,30.0,0.0,11.9,38.0,36.0,18.3,29.5,Suriname,0.5,$7.2 ,4.7,4.4,"$13,116",12.4,1.9,112.8,29.2
156,Swaziland,Swaziland,Sub-Saharan Africa,91,8,59.9,-1.3,40.0,0.0,39.0,7.4,76.4,1.7,68.6,-2.3,60.5,-3.7,69.3,-2.4,73.9,1.6,76.0,-5.5,55.0,-10.0,40.0,0.0,7.0,33.0,27.5,22.7,32.4,Swaziland,1.1,$6.8 ,2.8,1.4,"$6,218",22.9,5.6,67.0,18.8
157,Sweden,Sweden,Europe,23,12,72.7,-0.4,90.0,0.0,89.0,-3.3,43.0,0.1,19.2,-2.2,87.9,-3.2,54.0,1.1,85.5,3.0,88.0,0.2,90.0,0.0,80.0,0.0,1.0,57.0,22.0,44.3,51.9,Sweden,9.6,$396.8 ,1.5,1.3,"$41,188",8.0,0.0,"8,149.5",41.4
158,Switzerland,Switzerland,Europe,5,1,80.5,-1.1,90.0,0.0,85.0,-3.1,70.3,1.4,65.1,-0.6,78.1,2.7,75.3,-12.1,86.3,1.1,90.0,0.0,85.0,0.0,80.0,0.0,0.0,40.0,24.0,28.2,34.1,Switzerland,8.0,$371.6 ,2.0,1.2,"$46,430",4.4,-0.2,"-5,252.1",49.4
159,Syria,Syria,Middle East / North Africa,N/A,N/A,N/A,N/A,10.0,0.0,17.0,-6.3,N/A,N/A,N/A,N/A,57.3,-3.1,49.1,-6.0,N/A,N/A,N/A,N/A,0.0,0.0,20.0,0.0,N/A,22.0,28.0,N/A,N/A,Syria,N/A,N/A,N/A,N/A,N/A,8.4,N/A,0,N/A
